Vial Number,Soil or Stem,SampleYear,SampleDate,Site,Plant,soil max depth (cm),stem rep or pooled,dD,d18O,Notes
10,Soil ,2021,22-Jun-21,US-Ses,shrub ISO2,10,NaN,-97,-3.6,
11,Soil ,2021,22-Jun-21,US-Ses,shrub ISO2,20,NaN,-46,9.1,
12,Soil ,2021,22-Jun-21,US-Ses,shrub ISO2,30,NaN,-58,4.7,
13,Soil ,2021,22-Jun-21,US-Ses,shrub ISO2,40,NaN,-82,-3.3,
14,Soil ,2021,22-Jun-21,US-Ses,shrub ISO2,50,NaN,-62,-1.6,
15,Soil ,2021,22-Jun-21,US-Ses,shrub ISO2,60,NaN,-63,-2.1,
16,Soil ,2021,22-Jun-21,US-Ses,shrub ISO3,10,NaN,-81,0.6,
17,Soil ,2021,22-Jun-21,US-Ses,shrub ISO3,20,NaN,-48,10.4,
18,Soil ,2021,22-Jun-21,US-Ses,shrub ISO3,30,NaN,-57,4.7,
19,Soil ,2021,22-Jun-21,US-Ses,shrub ISO3,40,NaN,-60,0,
20,Soil ,2021,22-Jun-21,US-Ses,shrub ISO3,50,NaN,-58,5.2,
21,Soil ,2021,22-Jun-21,US-Ses,shrub ISO3,60,NaN,-59,-0.9,according to UWYO - vial 21 was a plant vial. Not sure what happened
22,Soil ,2021,22-Jun-21,US-Ses,shrub ISO4,10,NaN,-84,0.3,
23,Soil ,2021,22-Jun-21,US-Ses,shrub ISO4,20,NaN,-53,8.1,
24,Soil ,2021,22-Jun-21,US-Ses,shrub ISO4,30,NaN,-64,-0.9,
25,Soil ,2021,22-Jun-21,US-Ses,shrub ISO4,40,NaN,-67,1.7,
26,Soil ,2021,22-Jun-21,US-Ses,shrub ISO4,50,NaN,-55,-0.2,
27,Soil ,2021,22-Jun-21,US-Ses,shrub ISO4,60,NaN,-63,-2.7,
37,Soil ,2021,22-Jun-21,US-Ses,shrub ISO1B,10,NaN,-117,-7.1,
38,Soil ,2021,22-Jun-21,US-Ses,shrub ISO1B,20,NaN,-74,4,
39,Soil ,2021,22-Jun-21,US-Ses,shrub ISO1B,30,NaN,-56,2.4,
40,Soil ,2021,22-Jun-21,US-Ses,shrub ISO1B,40,NaN,-79,-5,
41,Soil ,2021,22-Jun-21,US-Ses,shrub ISO1B,50,NaN,-70,-3.9,
42,Soil ,2021,22-Jun-21,US-Ses,shrub ISO1B,60,NaN,-75,-5.3,
28,Soil ,2021,22-Jun-21,US-Ses,shrub ISO5,10,NaN,-99,-6.4,
29,Soil ,2021,22-Jun-21,US-Ses,shrub ISO5,20,NaN,-55,8.4,
30,Soil ,2021,22-Jun-21,US-Ses,shrub ISO5,30,NaN,-54,5.3,
31,Soil ,2021,22-Jun-21,US-Ses,shrub ISO5,40,NaN,-55,0.9,
32,Soil ,2021,22-Jun-21,US-Ses,shrub ISO5,50,NaN,-72,-3.7,
33,Soil ,2021,22-Jun-21,US-Ses,shrub ISO5,60,NaN,-59,-1.8,
90,Soil ,2021,23-Jun-21,US-Mpj,PIED1,10,NaN,-53,3.4,
91,Soil ,2021,23-Jun-21,US-Mpj,PIED1,20,NaN,-63,-0.8,
92,Soil ,2021,23-Jun-21,US-Mpj,PIED1,30,NaN,-69,-3.6,
93,Soil ,2021,23-Jun-21,US-Mpj,PIED1,40,NaN,-79,-7.1,
94,Soil ,2021,23-Jun-21,US-Mpj,PIED4,10,NaN,-52,3.7,
95,Soil ,2021,23-Jun-21,US-Mpj,PIED4,20,NaN,-61,-0.3,
96,Soil ,2021,23-Jun-21,US-Mpj,PIED4,30,NaN,-72,-5.4,
97,Soil ,2021,23-Jun-21,US-Mpj,PIED4,40,NaN,-76,-7.2,
98,Soil ,2021,23-Jun-21,US-Mpj,JUMO5,10,NaN,-51,5.1,
99,Soil ,2021,23-Jun-21,US-Mpj,JUMO5,20,NaN,-62,0.1,
100,Soil ,2021,23-Jun-21,US-Mpj,JUMO5,30,NaN,-77,-6,
101,Soil ,2021,23-Jun-21,US-Mpj,JUMO5,40,NaN,-80,-7.3,
102,Soil ,2021,23-Jun-21,US-Mpj,PIED5,10,NaN,-57,4.6,
104,Soil ,2021,23-Jun-21,US-Mpj,PIED5,20,NaN,-81,-3,
103,Soil ,2021,23-Jun-21,US-Mpj,PIED5,30,NaN,-87,-6.7,
105,Soil ,2021,23-Jun-21,US-Mpj,PIED5,40,NaN,-76,-5.2,
106,Soil ,2021,23-Jun-21,US-Mpj,JUMO4,10,NaN,-51,5,
107,Soil ,2021,23-Jun-21,US-Mpj,JUMO4,20,NaN,-63,-0.2,
108,Soil ,2021,23-Jun-21,US-Mpj,JUMO4,30,NaN,-72,-4.6,
109,Soil ,2021,23-Jun-21,US-Mpj,JUMO4,40,NaN,-75,-6.3,
110,Soil ,2021,23-Jun-21,US-Mpj,JUMO1,10,NaN,-133,-9,
111,Soil ,2021,23-Jun-21,US-Mpj,JUMO1,20,NaN,-79,-2.1,
112,Soil ,2021,23-Jun-21,US-Mpj,JUMO1,30,NaN,-77,-4.8,
113,Soil ,2021,23-Jun-21,US-Mpj,JUMO1,40,NaN,-70,-4.5,
114,Soil ,2021,23-Jun-21,US-Mpj,PIED2/JUMO3,10,NaN,-50,5.1,
115,Soil ,2021,23-Jun-21,US-Mpj,PIED2/JUMO3,20,NaN,-64,-0.3,
116,Soil ,2021,23-Jun-21,US-Mpj,PIED2/JUMO3,30,NaN,-73,-4.4,
117,Soil ,2021,23-Jun-21,US-Mpj,PIED2/JUMO3,40,NaN,-75,-5.9,
118,Soil ,2021,23-Jun-21,US-Mpj,JUMO2,10,NaN,-65,3.5,
119,Soil ,2021,23-Jun-21,US-Mpj,JUMO2,20,NaN,-60,1.8,
120,Soil ,2021,23-Jun-21,US-Mpj,JUMO2,30,NaN,-74,-4.7,
121,Soil ,2021,23-Jun-21,US-Mpj,JUMO2,40,NaN,-77,-6.2,
130,Soil ,2021,23-Jun-21,US-Mpj,PIED3,10,NaN,-50,5,
131,Soil ,2021,23-Jun-21,US-Mpj,PIED3,20,NaN,-61,0.7,
132,Soil ,2021,23-Jun-21,US-Mpj,PIED3,30,NaN,-72,-4.9,
