Site,Species,Plant,Lat,Lon,Base of tree (m),Top of tree (m),Plant Height (m),N-S Canopy dimensions (m),E-W Canopy dimensions (m),% Live canopy,DGL (cm)
US-Ses,LATR,shrub ISO2,34.33491,-106.745,NA,NA,0.66,0.82,0.63,97,NA
US-Ses,LATR,shrub ISO4,34.33488,-106.745,NA,NA,0.41,0.48,0.53,95,NA
US-Ses,LATR,shriub ISO3,34.33487,-106.745,NA,NA,0.62,0.95,0.77,70,NA
US-Ses,LATR,shrub ISO5,34.33493,-106.745,NA,NA,0.73,1.2,1.41,95,NA
US-Ses,LATR,shrub ISO1,34.33491,-106.745,NA,NA,0.94,1.01,1.22,95,NA
US-Wjs,JUMO,JUMO1,34.4259,-105.86168,-1.4,3.3,4.7,6.35,4.98,99,48.8
US-Wjs,JUMO,JUMO2,34.42589,-105.86166,-1.2,2.9,4.1,5.61,6.72,87,50.9
US-Wjs,JUMO,JUMO4,34.42582,-105.86158,-1.3,2,3.3,6.45,5.91,90,10.2
US-Wjs,JUMO,JUMO5,34.42576,-105.86173,-1.1,4,5.1,7.45,7.28,99,29.1
US-Wjs,JUMO,JUMO3,34.42574,-105.86158,-1.2,3,4.2,5.89,4.64,99,27.8
US-Mpj,PIED,PIED4,34.43817,-106.239,-1.2,0,1.2,0.87,0.57,99,6.1
US-Mpj,JUMO,JUMO5,34.43817,-106.239,-1.4,0.8,2.2,1.6,1.33,90,11.12
US-Mpj,PIED,PIED5,34.43822,-106.239,-1.3,0.3,1.6,0.94,1.05,100,5.5
US-Mpj,JUMO,JUMO4,34.43825,-106.239,-1.3,0.8,2.1,1.99,2.07,90,32.3
US-Mpj,JUMO,JUMO1,34.43829,-106.239,-1,1,2,1.04,1.31,100,8.4
US-Mpj,PIED,PIED2,34.43837,-106.239,-1.2,0,1.2,0.72,0.63,100,5
US-Mpj,JUMO,JUMO3,34.43837,-106.239,-1.2,2,3.2,1.47,1.92,99,17.9
US-Mpj,JUMO,JUMO2,34.43839,-106.239,-1.5,3,4.5,1.29,1.32,99,10
US-Mpj,PIED,PIED3,34.43833,-106.239,-1.3,0,1.3,1.36,1.69,99,9.5
US-Mpj,PIED,PIED1,34.43821,-106.239,-1.3,3,4.3,1.24,3.12,100,14.2
